Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2023-07-24,3329.9541015625,3348.2971250852347,3307.736519941008,3316.466549048623,1680132
2023-07-25,3334.27001953125,3341.7741469750813,3315.681767797957,3332.651609023338,1272980
2023-07-26,3323.626708984375,3355.5554667994684,3320.389649022728,3335.446755483378,1066803
2023-07-27,3332.063232421875,3346.531698991735,3320.439557205023,3330.150499991832,1701769
2023-07-28,3291.35498046875,3328.923991654151,3267.420801998411,3320.390097497635,2599831
2023-07-31,3356.144775390625,3361.2454751544187,3296.7504446465623,3300.1836401869045,2743678
2023-08-01,3386.16064453125,3393.9588546972027,3349.8177713268633,3349.8177713268633,1956167
2023-08-02,3374.97802734375,3380.6182767756977,3348.4445237745363,3369.386871455176,1914899
2023-08-03,3335.054931640625,3367.7193807245985,3303.7148108295196,3354.722284155866,2026351
2023-08-04,3377.82275390625,3404.7487658262826,3336.330089244207,3336.330089244207,2248493
2023-08-07,3417.550048828125,3421.424607353727,3375.566923754591,3388.0244711891214,1853889
2023-08-08,3404.356201171875,3423.336720953503,3390.623421400275,3417.549430984884,1634225
2023-08-09,3396.410888671875,3400.8249966860335,3359.6757487612945,3398.764983820485,1794589
2023-08-10,3376.400390625,3398.7650131719925,3364.5803422777612,3384.149506746724,1096701
2023-08-11,3382.972412109375,3400.481563451469,3348.8365957504043,3372.4766921160776,1679974
2023-08-14,3384.00244140625,3389.05404701546,3345.8938797018045,3375.026944742385,1190425
2023-08-16,3392.38916015625,3399.84419417002,3369.63202821836,3384.149587387931,1328445
2023-08-17,3370.17138671875,3394.7433019618425,3348.051753646013,3389.053959430483,1843241
2023-08-18,3302.83203125,3344.9131002675385,3292.4342583718458,3344.9131002675385,2526749
2023-08-21,3336.72216796875,3344.667658006893,3307.6381971696583,3310.58093577924,1375579
2023-08-22,3317.594482421875,3345.893915494129,3300.8210154521385,3335.10387355029,1222012
2023-08-23,3333.38720703125,3337.0656303451224,3311.5618953689395,3323.3328499733316,1330046
2023-08-24,3323.087890625,3347.9050364866966,3313.6221763237,3342.9513781270753,1152881
2023-08-25,3316.760986328125,3321.1750945773024,3286.30359151266,3310.5811868831365,1158046
2023-08-28,3311.12060546875,3329.218400675874,3295.9655489776037,3329.218400675874,1037485
2023-08-29,3311.709228515625,3324.853606004598,3300.7721446902856,3316.5158457579805,944517
2023-08-30,3326.226806640625,3343.0496078602146,3318.4776899258404,3333.1422910145925,1188200
2023-08-31,3292.728271484375,3352.171445941063,3279.8291239410537,3336.084571146212,3417652
2023-09-01,3314.70068359375,3324.3136775033213,3292.728331355312,3301.7526817575035,1277950
2023-09-04,3353.250732421875,3367.326928261028,3305.7255505430117,3313.5237601641343,1828332
2023-09-05,3363.8935546875,3381.2065705780565,3340.1552722970455,3354.7219238111265,1501842
2023-09-06,3364.43310546875,3378.165886254678,3333.240266410981,3368.4549442054767,1314818
2023-09-07,3389.29931640625,3393.9586527069314,3356.9782840692396,3365.316043765196,1885092
2023-09-08,3376.203857421875,3398.863040148469,3369.4847480583285,3389.299139819047,1518917
2023-09-11,3414.214599609375,3419.1682579552244,3379.245148365594,3395.9206686913462,1783604
2023-09-12,3512.452880859375,3521.3790443592934,3416.519553510657,3425.347769411201,4476016
2023-09-13,3499.750244140625,3520.3494153824977,3477.336288211358,3502.9382111185337,1754929
2023-09-14,3492.09912109375,3529.030397081612,3477.924977164576,3501.908250384624,2604721
2023-09-15,3529.619140625,3538.496450780873,3494.453315328695,3499.7503889842496,2952897
2023-09-18,3537.319091796875,3550.218240606211,3507.00897783734,3511.7174078308485,1395753
2023-09-20,3537.22119140625,3555.8094439134643,3511.6683611614353,3511.6683611614353,1649396
2023-09-21,3516.8671875,3536.19112438901,3460.6608285282737,3520.055154533083,2004073
2023-09-22,3534.86669921875,3564.392273492519,3497.003604721595,3515.591856401015,1989083
2023-09-25,3508.87255859375,3550.9047730392685,3490.725669560262,3533.7387969265096,1238778
2023-09-26,3517.25927734375,3526.3327215132203,3468.507954945545,3499.5048978464947,1726062
2023-09-27,3520.791015625,3545.0195183941423,3487.832243624072,3521.4776068165384,1541134
2023-09-28,3469.243896484375,3534.033245112202,3460.0234104919796,3531.286640939775,1755753
2023-09-29,3461.249267578125,3500.338501970446,3438.6391779063088,3469.684974617301,2243791
2023-10-03,3446.781005859375,3466.7424403600844,3413.6751943663503,3466.7424403600844,1948148
2023-10-04,3470.224609375,3480.278966592467,3410.9284725105645,3419.75668860395,1788138
2023-10-05,3520.83984375,3554.8283802356386,3483.4178726040827,3486.164476643891,2990768
2023-10-06,3552.27783203125,3565.569249541903,3506.8126634220357,3522.4581760684473,2075691
2023-10-09,3568.90478515625,3608.7788014264816,3561.694979064842,3575.476854131421,4233074
2023-10-10,3559.634765625,3578.370298010478,3532.610806521453,3570.5720882670375,1848148
2023-10-11,3540.997314453125,3580.332016785979,3536.190937126974,3580.332016785979,2426417
2023-10-12,3474.93310546875,3520.1530472989853,3470.5680908798995,3506.7636817609027,4241281
2023-10-13,3502.693115234375,3508.725634105149,3457.718160531353,3462.6227252980643,2890357
2023-10-16,3456.78662109375,3506.4206768644053,3451.931149477592,3497.935874923075,1671104
2023-10-17,3440.110595703125,3466.69319131001,3436.4812659094987,3462.6224986124143,1672065
2023-10-18,3420.6884765625,3455.4617906261137,3417.500509669152,3443.9851577061977,1408245
2023-10-19,3398.462646484375,3419.3120015706177,3394.774704914926,3412.0835400543524,1514545
2023-10-20,3436.718994140625,3441.587028930442,3387.054714969033,3393.2994852204924,1481211
2023-10-23,3353.71533203125,3421.37680885982,3345.0119347403615,3415.5253234291526,1106272
2023-10-25,3333.99755859375,3368.3199047951694,3321.3108957680292,3334.390842980444,1518537
2023-10-26,3281.5302734375,3317.8687415194795,3274.8919788857047,3312.3123391570066,1984471
2023-10-27,3295.4951171875,3306.3622988787793,3281.776023604547,3294.560886747148,1108851
2023-10-30,3322.638427734375,3326.867315059107,3278.5797748657174,3294.5608536333416,910972
2023-10-31,3313.000732421875,3342.7501267538264,3294.6102457640122,3342.7501267538264,999811
2023-11-01,3275.531005859375,3315.803516743122,3256.2062895798977,3299.478133959697,1563475
2023-11-02,3304.493896484375,3320.0814512239162,3287.8734300446213,3287.8734300446213,1245384
2023-11-03,3295.446044921875,3331.833733965295,3288.9554120175862,3326.031468779594,1402598
2023-11-06,3324.310302734375,3336.160935518278,3303.4119686072822,3319.147184891211,1099852
2023-11-07,3314.67236328125,3347.8146138447105,3310.2960543666977,3322.0974663252246,1191144
2023-11-08,3325.589111328125,3345.651417704469,3313.787698141954,3315.656159189618,992899
2023-11-09,3292.052978515625,3335.374042777578,3286.7424391935324,3333.9973074275063,2112352
2023-11-10,3278.284912109375,3292.0532270508957,3267.3687493230987,3282.759662485441,1338557
2023-11-13,3276.416259765625,3300.4615889355064,3271.941509650903,3300.4615889355064,1030990
2023-11-15,3347.962646484375,3356.5186230821787,3300.5111306438494,3327.1135310677823,2059802
2023-11-16,3439.96435546875,3470.9430635814483,3357.698530975928,3373.2863261775383,3951984
2023-11-17,3444.48828125,3466.1734261766405,3434.7522113320965,3439.9645502186013,2021292
2023-11-20,3461.354248046875,3475.417405317009,3433.473316056803,3433.473316056803,1475621
2023-11-21,3452.109375,3480.4820301120135,3443.0616745465345,3461.3539577179304,1807236
2023-11-22,3471.7294921875,3474.1881197162365,3423.491412153966,3442.0785402310757,1798051
2023-11-23,3450.19189453125,3485.350267004561,3442.0784239604864,3471.5819533087188,2729804
2023-11-24,3399.888427734375,3446.553128011694,3395.856182737039,3436.4235350503614,1989733
2023-11-28,3412.722412109375,3423.6388143150843,3376.187303280053,3399.8885685625582,1689195
2023-11-29,3455.60107421875,3459.780741117485,3418.279155460705,3423.3930528226165,1441634
2023-11-30,3429.8837890625,3458.4528484108027,3423.392916449951,3441.5375393027643,3266235
2023-12-01,3453.53564453125,3458.747982906288,3432.2932467674304,3442.078536300559,1172141
2023-12-04,3454.322265625,3489.0873529923697,3440.1114473175253,3485.9893384178627,1625213
2023-12-05,3473.15576171875,3479.4497522853444,3444.8323239683755,3479.4497522853444,1377656
2023-12-06,3544.4560546875,3553.0612514462373,3466.812401566953,3474.139304030391,1896572
2023-12-07,3555.076904296875,3570.4680564223854,3532.260889242496,3545.340835490588,1967653
2023-12-08,3566.681640625,3584.678841677357,3542.4396698757396,3572.877429852905,1641155
2023-12-11,3582.61376953125,3592.5467212748904,3555.1755810043055,3562.9447483362055,1102503
2023-12-12,3611.33056640625,3637.1951360074713,3570.9106336699306,3578.729021215181,2236866
2023-12-13,3534.080322265625,3589.5960821461467,3504.035846763485,3583.2528713361203,3850968
2023-12-14,3606.560791015625,3617.1328895917836,3567.56705370277,3569.927240135447,3290396
2023-12-15,3797.104248046875,3831.475811906952,3606.019673894845,3606.019673894845,8531230
2023-12-18,3795.334228515625,3863.9791595431043,3766.764927610666,3794.25257642529,2521612
2023-12-19,3753.045654296875,3791.302042217498,3727.2792861436023,3781.3690910876385,2004435
2023-12-20,3717.494140625,3834.2789512748154,3704.2175516248103,3763.912981553741,2586083
2023-12-21,3724.82080078125,3743.70301266217,3681.401533559478,3694.0879558903152,1517562
2023-12-22,3760.716552734375,3782.3032537552385,3699.742591889832,3737.1137291816485,2413058
2023-12-26,3732.73779296875,3770.551438956997,3727.4270130790164,3756.6357022216484,1285231
2023-12-27,3748.12841796875,3755.0125749959125,3705.6433826211874,3736.1303637414785,1293976
2023-12-28,3737.015380859375,3774.4849602200925,3729.344655094492,3760.7166461390393,1682889
2023-12-29,3730.623291015625,3759.3402550951864,3703.086660331394,3729.2465555215595,1574996
2024-01-01,3748.0302734375,3768.584303688355,3710.5606935845935,3727.2793609026266,825907
2024-01-02,3720.591796875,3748.0302239952007,3704.905801353602,3748.0302239952007,1344068
2024-01-03,3630.655517578125,3709.4300449741327,3626.0333455311243,3704.6602112052,1803075
2024-01-04,3606.1181640625,3657.4542580892885,3590.5795902887853,3640.4897283898963,3598144
2024-01-05,3676.041748046875,3685.7288373624583,3614.035348653428,3614.1827702773753,1963127
2024-01-08,3617.427734375,3677.8607481841777,3611.62522961842,3676.0412678578914,1067805
2024-01-09,3628.8359375,3690.252647722938,3621.8043585246096,3648.5541790950942,1370944
2024-01-10,3651.6025390625,3667.5343961756507,3626.9670451419993,3628.9339470102973,1292227
2024-01-11,3673.730712890625,3710.5609076458877,3645.6531366666595,3662.371804949188,1777909
2024-01-12,3818.54345703125,3840.6218831876286,3758.3563059600724,3784.3193154102796,6813450
2024-01-15,3839.1962890625,3899.383445804916,3820.70736114807,3894.466190513863,2801505
2024-01-16,3797.399169921875,3834.475222410886,3791.7443270060344,3834.475222410886,1432672
2024-01-17,3820.31396484375,3845.244304378807,3749.456270155478,3755.799481275032,3458696
2024-01-18,3838.015869140625,3844.1132171624845,3798.087663535616,3833.491898617771,2239110
2024-01-19,3886.760009765625,3906.967356670561,3859.1597310662,3888.6821239011256,2941975
2024-01-23,3803.17041015625,3877.740349928157,3787.891684993956,3844.3243956740425,2618854
2024-01-24,3786.95556640625,3828.207982906329,3751.2723957956964,3824.610185566064,2657709
2024-01-25,3755.9052734375,3805.8814463186973,3724.7562899172253,3785.082567741791,2205154
2024-01-29,3746.73779296875,3765.4665533124507,3726.875546024273,3746.5406962540924,1646747
2024-01-30,3746.29443359375,3792.869905489426,3732.937821564557,3753.095834814792,1411621
2024-01-31,3761.474365234375,3779.2667358961994,3742.2527425557164,3756.7921750947016,2459358
2024-02-01,3799.129150390625,3849.1546577703657,3750.7302324716084,3765.466762376542,2363107
2024-02-02,3909.677978515625,3927.5194423063704,3816.7241374704427,3819.730644439133,2826510
2024-02-05,3916.578369140625,3964.583093927072,3905.5383052249554,3926.1398466214637,1691523
2024-02-06,4076.955322265625,4090.6567924878987,3933.0395879690145,3939.9396574215916,4474396
2024-02-07,4025.106201171875,4095.684151892613,4015.7911553834733,4093.712703444048,2124267
